;C_ID;geo;trends;ID;date;GT_DK_0;GT_DK_1;GT_DK_2;GT_DK_3;GT_DK_4;GT_DK_5;GT_DK_6;GT_DK_7;GT_DK_8;GT_DK_9;GT_DK_10;GT_DK_11;GT_DK_12;GT_DK_13;GT_DK_14;GT_DK_15;GT_DK_16;GT_DK_17;GT_DK_18;GT_DK_19;GT_DK_20;GT_DK_21;GT_NO_0;GT_NO_1;GT_NO_2;GT_NO_6;GT_NO_7;GT_NO_8;GT_NO_10;GT_NO_11;GT_SE_0;GT_SE_1;GT_SE_2;GT_SE_5;GT_SE_6;GT_SE_7;GT_SE_8;GT_SE_9;GT_SE_10;GT_SE_11
2383;SE;SE-S;SE-S;Värmland;2007Q4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.333333333333336;29.666666666666668;28.0;0.0;0.0;49.0;15.0;9.0;19.666666666666668;13.666666666666666
2384;SE;SE-S;SE-S;Värmland;2008Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.0;37.666666666666664;32.333333333333336;25.333333333333332;12.0;58.333333333333336;18.333333333333332;8.666666666666666;20.666666666666668;24.0
2385;SE;SE-S;SE-S;Värmland;2008Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.0;37.333333333333336;18.333333333333332;33.333333333333336;0.0;58.666666666666664;20.666666666666668;16.0;19.666666666666668;9.333333333333334
2386;SE;SE-S;SE-S;Värmland;2008Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.666666666666664;40.333333333333336;30.0;11.666666666666666;0.0;62.0;20.666666666666668;18.666666666666668;21.333333333333332;8.333333333333334
2387;SE;SE-S;SE-S;Värmland;2008Q4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.666666666666664;36.333333333333336;22.666666666666668;23.0;0.0;38.333333333333336;25.666666666666668;17.666666666666668;13.333333333333334;18.333333333333332
2388;SE;SE-S;SE-S;Värmland;2009Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;60.333333333333336;36.0;23.666666666666668;19.333333333333332;64.66666666666667;22.666666666666668;8.333333333333334;18.666666666666668;14.0
2389;SE;SE-S;SE-S;Värmland;2009Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.666666666666664;57.333333333333336;25.333333333333332;33.0;11.333333333333334;77.0;33.333333333333336;3.6666666666666665;19.0;17.0
2390;SE;SE-S;SE-S;Värmland;2009Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.0;51.333333333333336;26.333333333333332;36.666666666666664;9.666666666666666;79.66666666666667;26.666666666666668;11.0;11.0;16.666666666666668
2391;SE;SE-S;SE-S;Värmland;2009Q4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.666666666666664;54.333333333333336;31.0;13.333333333333334;9.333333333333334;82.0;22.666666666666668;19.666666666666668;13.0;29.0
2392;SE;SE-S;SE-S;Värmland;2010Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.333333333333336;57.333333333333336;23.333333333333332;24.666666666666668;13.0;92.33333333333333;32.666666666666664;22.333333333333332;19.0;16.0
2393;SE;SE-S;SE-S;Värmland;2010Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;61.0;23.0;20.0;9.333333333333334;86.66666666666667;26.0;16.0;20.0;20.666666666666668
2394;SE;SE-S;SE-S;Värmland;2010Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.666666666666664;43.666666666666664;33.333333333333336;27.666666666666668;9.0;71.33333333333333;28.666666666666668;6.333333333333333;15.0;11.333333333333334
2395;SE;SE-S;SE-S;Värmland;2010Q4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.333333333333336;49.333333333333336;29.333333333333332;19.666666666666668;8.666666666666666;72.0;20.666666666666668;13.333333333333334;16.666666666666668;17.0
2396;SE;SE-S;SE-S;Värmland;2011Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.333333333333336;67.66666666666667;34.333333333333336;16.0;5.0;68.33333333333333;23.666666666666668;19.666666666666668;11.666666666666666;16.666666666666668
2397;SE;SE-S;SE-S;Värmland;2011Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0;63.333333333333336;29.666666666666668;12.666666666666666;9.666666666666666;69.33333333333333;20.666666666666668;19.0;9.666666666666666;11.0
2398;SE;SE-S;SE-S;Värmland;2011Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.333333333333336;55.0;30.333333333333332;11.333333333333334;14.666666666666666;60.0;26.666666666666668;14.333333333333334;13.666666666666666;13.0
