labour_force_share,reg_nr,ID,date,pop,mvu_lvu,mvu_lvu_share,urban_share
74.7,12,Skåne,2014-07-01,1288908,340390,26.40917738116297,88.58403527947952
76.4,13,Halland,2014-07-01,310665,71968,23.165789516038178,79.27034499338863
76.0,14,Västra Götaland,2014-07-01,1632012,418163,25.622544442075178,83.95605383038757
71.2,17,Värmland,2014-07-01,274691,58104,21.152494985274362,74.40177117450094
72.4,18,Örebro,2014-07-01,288150,63391,21.99930591705709,82.6681654355351
73.2,19,Västmanland,2014-07-01,261703,57010,21.784236328968333,87.57853423855417
72.5,20,Dalarna,2014-07-01,278903,53801,19.29021918014507,79.92759351301405
69.89999999999999,21,Gävleborg,2014-07-01,279991,53684,19.173473433074633,78.28923575448088
72.9,22,Västernorrland,2014-07-01,243061,50908,20.944536556666847,76.57454920144255
72.9,23,Jämtland,2014-07-01,126765,27159,21.424683469411903,66.36619807247554
74.4,24,Västerbotten,2014-07-01,262362,70614,26.91472088183502,77.56801369915846
71.6,25,Norrbotten,2014-07-01,249987,54629,21.8527363422898,82.22389374479604
77.2,01,Stockholm,2014-10-01,2198044,706054,32.12192294603748,95.73732331942621
72.6,03,Uppsala,2014-10-01,348942,105587,30.259183474617558,80.50297425881709
71.7,04,Södermanland,2014-10-01,280666,55699,19.845296544647375,82.36671616101175
72.0,05,Östergötland,2014-10-01,442105,109222,24.704990895827912,84.36395883084056
73.89999999999999,06,Jönköping,2014-10-01,344262,70195,20.38999366761362,82.52005248377692
75.7,07,Kronoberg,2014-10-01,189128,42000,22.20718243729115,77.95313689246494
67.5,08,Kalmar,2014-10-01,235598,47843,20.30704844693079,77.54735886544259
68.7,09,Gotland,2014-10-01,57255,12083,21.103833726312114,58.44872444079694
68.3,10,Blekinge,2014-10-01,154157,34598,22.4433532048496,79.63413758671774
72.7,12,Skåne,2014-10-01,1288908,340390,26.40917738116297,88.58403527947952
75.39999999999999,13,Halland,2014-10-01,310665,71968,23.165789516038178,79.27034499338863
74.0,14,Västra Götaland,2014-10-01,1632012,418163,25.622544442075178,83.95605383038757
69.8,17,Värmland,2014-10-01,274691,58104,21.152494985274362,74.40177117450094
70.1,18,Örebro,2014-10-01,288150,63391,21.99930591705709,82.6681654355351
72.1,19,Västmanland,2014-10-01,261703,57010,21.784236328968333,87.57853423855417
70.5,20,Dalarna,2014-10-01,278903,53801,19.29021918014507,79.92759351301405
68.89999999999999,21,Gävleborg,2014-10-01,279991,53684,19.173473433074633,78.28923575448088
70.8,22,Västernorrland,2014-10-01,243061,50908,20.944536556666847,76.57454920144255
72.60000000000001,23,Jämtland,2014-10-01,126765,27159,21.424683469411903,66.36619807247554
71.4,24,Västerbotten,2014-10-01,262362,70614,26.91472088183502,77.56801369915846
69.5,25,Norrbotten,2014-10-01,249987,54629,21.8527363422898,82.22389374479604
77.9,01,Stockholm,2015-01-01,2231439,726522,32.55845219161267,96.80103287609475
72.7,03,Uppsala,2015-01-01,354164,108000,30.494347251555777,81.5441433911973
71.39999999999999,04,Södermanland,2015-01-01,283712,56865,20.043212835551547,84.38557410331605
72.3,05,Östergötland,2015-01-01,445661,111551,25.030460372345797,85.40594757001398
74.0,06,Jönköping,2015-01-01,347837,72104,20.72924961979318,83.82776990371927
75.8,07,Kronoberg,2015-01-01,191369,43286,22.619128489985314,78.6558951554327
70.9,08,Kalmar,2015-01-01,237679,49056,20.639602152482972,79.45674628385343
