date,target_actual,ID,jobs,sector_information_technology,sector_engineering_technology,sector_management_staff,sector_trade_service,sector_industry_craft,sector_sales_communication,sector_teaching,sector_office_finance,sector_social_health,sector_other,population,high_edu_share,labour_force_share,urban_share,country,GT_DK_0,GT_DK_1,GT_DK_2,GT_DK_3,GT_DK_4,GT_DK_5,GT_DK_6,GT_DK_7,GT_DK_8,GT_DK_9,GT_DK_10,GT_DK_11,GT_DK_12,GT_DK_13,GT_DK_14,GT_DK_15,GT_DK_16,GT_DK_17,GT_DK_18,GT_DK_19,GT_DK_20,GT_DK_21
2016-07-01,7.14,Southern Denmark,1.9613074204946999,0.08763250883392226,0.17720848056537103,0.2549469964664311,0.2547703180212014,0.29558303886925796,0.17314487632508832,0.18586572438162544,0.30759717314487633,0.34558303886925795,0.2567137809187279,1213532,14.256237165563002,45.69898362795543,83.8998230078287,DK,63.74,65.59,84.94,42.01,80.68,50.83,30.88,35.76,11.54,27.89,57.14,55.51,54.25,9.85,32.08,8.33,37.22,35.13,25.21,56.6,35.38,47.14
2016-10-01,6.2,Southern Denmark,1.7513937282229965,0.08571428571428572,0.18658536585365854,0.2498257839721254,0.21602787456445993,0.2412891986062718,0.17682926829268295,0.17334494773519166,0.2667247386759582,0.33327526132404184,0.23066202090592336,1214785,14.241532452244634,45.51528212811321,83.91962876278652,DK,59.16,58.3,83.01,40.62,80.68,44.58,44.12,36.11,10.58,28.91,53.47,60.82,62.26,7.58,35.47,9.65,32.29,35.84,24.37,55.56,31.05,65.2
2017-01-01,7.25,Southern Denmark,2.1008605851979345,0.10567986230636833,0.20757314974182445,0.26385542168674697,0.2900172117039587,0.2977624784853701,0.2001721170395869,0.1855421686746988,0.340447504302926,0.4068846815834768,0.28433734939759037,1217170,14.213626691423547,46.190417936689215,83.90324468825891,DK,66.79,73.68,95.75,46.53,84.85,47.5,44.85,42.36,8.65,30.27,65.71,77.14,63.68,12.12,35.85,10.53,34.08,45.88,25.63,61.81,39.71,50.66
2017-04-01,6.91,Southern Denmark,2.070984455958549,0.09464594127806564,0.19671848013816925,0.24093264248704663,0.279447322970639,0.348013816925734,0.16563039723661485,0.24576856649395512,0.316580310880829,0.36286701208981004,0.27374784110535405,1217224,14.21299612889657,46.17956103395922,83.91563533088404,DK,53.82,55.87,84.17,41.32,85.61,42.5,36.76,34.72,11.54,23.81,64.49,62.45,56.6,8.71,37.74,12.72,24.66,44.09,24.79,63.19,29.24,41.85
2017-07-01,5.99,Southern Denmark,1.8172006745362563,0.09123102866779088,0.18279932546374367,0.2387858347386172,0.24620573355817874,0.3104553119730185,0.15767284991568298,0.16559865092748735,0.27369308600337267,0.33237774030354134,0.2281618887015177,1218010,14.626398798039427,46.00044334611375,84.01511383321974,DK,52.67,55.87,86.49,41.67,100.0,39.17,25.74,38.54,10.58,28.57,69.8,59.18,45.28,9.09,43.77,12.72,39.01,41.22,24.79,60.07,35.74,38.77
2017-10-01,4.92,Southern Denmark,2.0203767123287673,0.10616438356164384,0.19743150684931507,0.25787671232876713,0.2363013698630137,0.31746575342465755,0.1785958904109589,0.21472602739726027,0.32945205479452055,0.38424657534246576,0.2599315068493151,1218665,14.618537497999865,45.76996139217915,84.01439476804538,DK,47.33,64.37,81.85,42.36,74.62,41.67,34.56,37.5,8.65,28.23,66.94,60.0,59.91,8.33,37.36,12.72,31.84,42.65,28.15,53.47,33.57,47.14
2018-01-01,5.27,Southern Denmark,2.1933786078098474,0.11595925297113752,0.2066213921901528,0.26723259762309,0.300509337860781,0.3402376910016978,0.1828522920203735,0.19813242784380306,0.3551782682512733,0.4254668930390493,0.32325976230899833,1220306,14.598879297487679,46.27683957958087,84.03537711033134,DK,51.15,72.06,90.73,48.96,88.26,47.5,39.71,42.36,8.65,32.65,82.86,73.47,63.21,11.36,47.17,25.0,64.57,52.33,42.86,67.71,45.85,45.37
2018-04-01,4.22,Southern Denmark,2.326020408163265,0.10476190476190476,0.20833333333333334,0.2707482993197279,0.3335034013605442,0.36989795918367346,0.17500000000000002,0.2649659863945578,0.3289115646258503,0.40680272108843535,0.33622448979591835,1220763,14.593414118874836,46.33831054840292,84.03919696124474,DK,48.09,63.97,81.08,44.1,83.33,42.92,28.68,33.68,8.65,25.17,59.59,66.12,48.11,14.02,37.36,13.16,38.12,40.86,30.25,62.85,34.66,43.61
2018-07-01,5.32,Southern Denmark,1.8443507588532884,0.09831365935919056,0.1772344013490725,0.24165261382799327,0.26559865092748736,0.3067453625632378,0.16104553119730186,0.17352445193929172,0.2868465430016863,0.299831365935919,0.25261382799325466,1221083,14.951645383647135,47.17802639132639,84.13233048474109,DK,43.13,72.06,86.49,42.71,82.58,46.25,27.21,36.11,8.65,24.49,68.16,64.49,38.21,10.23,32.45,10.09,39.91,35.13,22.27,60.07,34.66,40.97
2018-10-01,5.37,Southern Denmark,1.9389351081530781,0.10898502495840266,0.19883527454242927,0.2643926788685524,0.24841930116472546,0.2901830282861897,0.1670549084858569,0.1843594009983361,0.2935108153078203,0.3359400998336106,0.2875207986688852,1222370,14.935903204430735,46.385066714660866,84.14582536491281,DK,48.85,56.68,86.1,38.89,82.2,41.25,31.62,38.19,8.65,25.17,64.08,64.9,51.42,11.74,26.79,11.4,27.8,40.86,25.63,51.39,29.24,65.2
2019-01-01,5.65,Southern Denmark,2.245302013422819,0.11543624161073826,0.21644295302013422,0.2791946308724832,0.312248322147651,0.3649328859060402,0.1983221476510067,0.16644295302013423,0.35218120805369124,0.3875838926174497,0.37298657718120803,1223204,14.925719667365374,46.334742201627854,84.13067275341704,DK,54.96,66.4,92.66,44.79,89.77,45.42,27.94,40.62,7.69,29.25,82.45,70.61,50.0,11.36,35.85,10.96,60.99,45.88,28.57,59.72,37.55,61.23
2019-04-01,4.83,Southern Denmark,2.256164383561644,0.10102739726027397,0.1976027397260274,0.26558219178082193,0.32876712328767127,0.3667808219178082,0.18082191780821918,0.21797945205479452,0.3184931506849315,0.35804794520547945,0.3820205479452055,1223348,14.923962764479118,46.764461951954786,84.14883017751285,DK,48.47,53.44,81.47,40.62,79.92,41.67,20.59,35.42,8.65,25.51,63.27,57.96,44.34,8.71,26.42,11.84,46.64,41.22,26.05,52.78,27.44,40.09
2019-07-01,4.79,Southern Denmark,1.663103448275862,0.07948275862068965,0.15258620689655172,0.19241379310344828,0.22413793103448273,0.32379310344827583,0.14517241379310347,0.14189655172413795,0.2217241379310345,0.26120689655172413,0.23396551724137932,1223685,15.314480442270687,46.917351279128205,84.23712000888908,DK,45.8,61.13,95.75,45.83,80.68,42.5,24.26,37.85,7.69,26.19,61.22,61.63,38.21,9.09,33.58,12.28,42.15,42.29,26.05,61.46,33.57,44.93
2008-01-01,3.2,Zealand,,,,,,,,,,,,816118,11.369434321997554,50.70018428707613,79.39061422490374,DK,12.21,47.77,83.4,58.33,55.68,57.08,50.0,49.65,91.35,45.58,42.45,16.73,38.21,17.05,62.64,38.6,15.25,46.95,44.54,58.33,26.71,6.61
2008-04-01,2.61,Zealand,2.5773399014778327,0.05147783251231527,0.13793103448275862,0.20246305418719213,0.4246305418719212,0.40738916256157637,0.1455665024630542,0.39211822660098516,0.28620689655172415,0.6130541871921182,0.18669950738916258,819427,11.323522412612714,49.061617447313786,79.38321035459816,DK,32.44,38.06,76.45,58.33,48.11,52.92,11.76,41.67,92.31,42.18,53.88,15.1,35.85,13.64,52.08,92.98,16.59,37.99,91.6,65.97,20.58,14.1
2008-07-01,3.73,Zealand,1.7814726840855106,0.034679334916864604,0.10831353919239906,0.15748218527315913,0.3178147268408551,0.27315914489311166,0.10878859857482186,0.25676959619952494,0.20213776722090263,0.39596199524940623,0.130166270783848,819704,11.557586641031394,48.48462737768756,79.67673967045906,DK,23.28,40.08,86.49,59.72,67.05,55.0,34.56,44.1,93.27,41.16,27.76,18.37,27.83,9.85,24.91,23.25,0.0,31.18,27.31,72.22,24.55,6.61
2008-10-01,4.52,Zealand,1.2058275058275059,0.026107226107226107,0.07622377622377621,0.12097902097902098,0.18997668997668998,0.13006993006993006,0.08741258741258741,0.2286713286713287,0.15384615384615385,0.2608391608391608,0.08764568764568764,820596,11.545023373255534,48.19932585584137,79.68930614165893,DK,20.61,40.08,78.76,58.68,57.58,39.58,43.38,50.35,88.46,47.28,26.53,26.53,41.04,21.59,44.15,23.25,0.0,45.52,28.15,59.03,41.52,18.94
2009-01-01,5.04,Zealand,1.1407142857142858,0.013333333333333334,0.08619047619047619,0.11595238095238095,0.17952380952380953,0.09261904761904761,0.08571428571428572,0.20095238095238097,0.13690476190476192,0.29404761904761906,0.08285714285714287,821308,11.535014878705676,49.08709643641605,79.68397019525231,DK,33.21,43.32,84.56,73.26,62.12,48.75,50.74,62.5,85.58,66.67,73.06,35.51,67.45,8.71,48.68,26.75,29.15,51.25,38.66,62.15,55.23,11.45
2009-04-01,6.04,Zealand,1.1194244604316548,0.01630695443645084,0.05323741007194245,0.1067146282973621,0.18321342925659473,0.09448441247002398,0.07458033573141487,0.2028776978417266,0.11534772182254197,0.31318944844124696,0.08920863309352518,821252,11.53580143488235,48.16823703321271,79.70925323983354,DK,35.11,33.6,73.36,65.97,42.05,57.92,44.12,61.46,69.23,70.41,57.14,30.2,56.13,25.76,54.34,24.56,60.09,42.65,23.11,52.43,28.52,19.82
2009-07-01,5.57,Zealand,0.9553140096618358,0.018599033816425123,0.04154589371980676,0.10531400966183575,0.15772946859903383,0.09057971014492754,0.07729468599033816,0.18188405797101448,0.09371980676328502,0.23502415458937198,0.0785024154589372,820769,11.741671529991994,47.363853897990786,79.84928762081195,DK,22.14,40.08,73.75,66.32,52.27,47.5,15.44,65.62,67.31,72.45,76.33,33.06,43.87,17.8,43.77,19.3,14.8,43.01,27.73,51.39,31.41,37.44
2009-10-01,6.57,Zealand,0.8530266343825665,0.019854721549636804,0.05181598062953995,0.11840193704600484,0.13196125907990314,0.05375302663438256,0.08668280871670703,0.15520581113801454,0.09443099273607748,0.19394673123486683,0.0711864406779661,821086,11.737138375273723,47.62063657156498,79.8455979223031,DK,30.15,40.08,69.5,72.22,51.52,39.58,56.62,63.19,69.23,84.01,69.8,21.63,42.45,15.91,46.04,15.35,43.05,37.99,28.15,59.38,33.94,18.06
2010-01-01,8.01,Zealand,0.9306569343065693,0.018734793187347932,0.05669099756690998,0.11240875912408758,0.16155717761557178,0.06690997566909976,0.10340632603406325,0.14014598540145984,0.11265206812652068,0.20413625304136254,0.09732360097323602,820771,11.741642918670372,47.59766122341068,79.83495085793076,DK,32.82,55.47,77.99,73.26,50.38,61.25,30.15,63.89,77.88,97.62,80.41,26.53,74.06,17.05,50.94,19.74,47.53,51.97,25.63,67.71,44.4,17.62
