date,target_actual,ID,target_lag,jobs,sector_information_technology,sector_engineering_technology,sector_management_staff,sector_trade_service,sector_industry_craft,sector_sales_communication,sector_teaching,sector_office_finance,sector_social_health,sector_other,pop,mvu_lvu_share_pop,labour_force_share,w_ave_socio_index,w_ave_urban_index,GT_DK_0,GT_DK_1,GT_DK_2,GT_DK_3,GT_DK_4,GT_DK_5,GT_DK_6,GT_DK_7,GT_DK_8,GT_DK_9,GT_DK_10,GT_DK_11,GT_DK_12,GT_DK_13,GT_DK_14,GT_DK_15,GT_DK_16,GT_DK_17,GT_DK_18,GT_DK_19,GT_DK_20,GT_DK_21
2014-04-01,5.2,North Denmark,5.9,0.49077066429218585,0.01573463198494031,0.03259316625451921,0.056195114231929674,0.0865404759171717,0.056195114231929674,0.04308292091114608,0.05432194375753202,0.045705359575302806,0.09553169419428045,0.07792389173494249,581057.0,13.055517789132564,45.938198834193535,0.9528617733993541,80.56800944198034,46.0,39.0,63.0,59.0,49.48,37.89,20.69,73.0,9.23,47.0,57.29,30.0,28.26,27.27,36.0,12.0,57.0,55.0,24.0,47.0,39.0,16.0
2014-05-01,5.1,North Denmark,5.2,0.6249225867316915,0.01834703819643672,0.041187228604245694,0.06477627771395005,0.07563472889143301,0.057662120045943975,0.058410978747839355,0.13816443049969693,0.06926942992532231,0.09323290838597434,0.09285847903502667,581115.0,13.054214742348757,45.95873106011721,0.9529129698483751,80.76153330096203,35.0,29.0,60.0,47.0,65.98,35.79,10.34,77.0,9.23,51.0,42.71,35.0,19.57,25.25,14.0,12.0,23.0,49.0,26.0,43.0,28.0,8.0
2014-06-01,4.9,North Denmark,5.1,0.5525411821933047,0.01684576774979588,0.03631198826067111,0.0445476969383491,0.08535188993229911,0.056526909560426164,0.03780938983843075,0.12091517740409041,0.05764996074374589,0.08273143717121977,0.09171584663777756,581115.0,13.054214742348757,45.96842449429114,0.9529129698483751,80.76153330096203,41.0,41.0,67.0,56.0,76.29,26.32,13.79,76.0,10.77,57.0,70.83,40.0,19.57,36.36,38.0,7.0,34.0,52.0,27.0,47.0,55.0,14.0
2014-07-01,4.6,North Denmark,4.9,0.4207859173212918,0.012638446279968128,0.036056743798732596,0.0472083140457633,0.06505082644101241,0.04386284297165409,0.04088909090577923,0.060218479333965784,0.053155818177513,0.07768927272098054,0.05204066115280994,581115.0,13.363964103490705,46.29383340646859,0.9529129698483756,80.76153330096203,36.0,35.0,58.0,58.0,49.48,13.68,3.45,67.0,7.69,49.0,51.04,22.0,14.13,43.43,44.0,6.0,68.0,49.0,21.0,40.0,38.0,28.0
2014-08-01,4.9,North Denmark,4.6,0.48886866969266907,0.013081348195140226,0.03588026933524176,0.05195163997498547,0.07848808917084135,0.05681042644746612,0.05195163997498547,0.08409438125447288,0.053072898391711774,0.07400305550393614,0.059052943280918736,581340.0,13.358791756975265,46.024102934599384,0.9529309952920026,80.73111686647816,32.0,36.0,69.0,53.0,68.04,20.0,15.52,83.0,9.23,55.0,40.62,48.0,27.17,27.27,25.0,16.0,53.0,49.0,19.0,40.0,40.0,21.0
2014-09-01,5.0,North Denmark,4.9,0.49788377137088174,0.014840052797939844,0.037100131994849614,0.07086125211016275,0.07791027718918418,0.0571342032720684,0.05045617951299547,0.07494226662959622,0.0667802375907293,0.07753927586923569,0.06715123891067779,581340.0,13.358791756975265,46.36543502941482,0.9527088894016676,80.73111686647816,47.0,38.0,68.0,59.0,56.7,36.84,15.52,83.0,9.23,59.0,59.38,46.0,26.09,41.41,24.0,14.0,52.0,48.0,22.0,41.0,42.0,35.0
2014-10-01,5.0,North Denmark,5.0,0.5304029856372752,0.02412636182003242,0.042598107588494735,0.07200211105665925,0.06559354619821314,0.043729030798808764,0.053907339691634935,0.09122780563199759,0.07727975270479134,0.10178308892826178,0.06521657179477514,581340.0,13.358791756975265,45.630784050641616,0.9527088894016676,80.73111686647817,38.0,38.0,69.0,59.0,60.82,25.26,10.34,74.0,9.23,56.0,57.29,30.0,22.83,23.23,51.0,15.0,70.0,33.0,23.0,47.0,39.0,42.0
2014-11-01,5.3,North Denmark,5.0,0.5413265645928765,0.021830668018441364,0.04329132471453626,0.06845209463409581,0.06105186818716653,0.05180158512850493,0.0429213133921898,0.10286314761231695,0.0725222191799069,0.11026337405924622,0.07067216256817459,582413.0,13.334180384023025,46.403840573613564,0.9527398323341753,80.71750837984982,45.0,27.0,67.0,50.0,55.67,30.53,15.52,72.0,10.77,52.0,47.92,27.0,29.35,30.3,49.0,9.0,28.0,49.0,23.0,42.0,38.0,31.0
2014-12-01,5.6,North Denmark,5.3,0.4921783959009152,0.02110412723618013,0.03655536324838344,0.06481981936826754,0.055021474580041065,0.03957023856783775,0.04597684862167815,0.09082311899856092,0.07084957000717616,0.09534543197774238,0.05652891223976821,582413.0,13.334180384023025,45.56061420332308,0.9527398323341753,80.71750837984982,42.0,28.0,49.0,61.0,41.24,18.95,12.07,64.0,9.23,45.0,35.42,29.0,39.13,22.22,22.0,11.0,12.0,52.0,21.0,33.0,25.0,18.0
2015-01-01,6.1,North Denmark,5.6,0.5840396535577175,0.022477472234421453,0.042332572708160404,0.07492490744807151,0.06818166577774508,0.050574312527448276,0.06518466947982222,0.08990988893768581,0.07829652828323473,0.11013961394866513,0.09215763616112797,582413.0,13.334180384023025,45.83241273803986,0.9527398323341756,80.71750837984982,58.0,39.0,73.0,64.0,64.95,37.89,13.79,75.0,10.77,55.0,51.04,45.0,36.96,24.24,44.0,14.0,19.0,55.0,23.0,51.0,41.0,16.0
