date,labour_force,ID
2015-02-01,605845.65,Central Denmark
2015-03-01,267406.45,North Denmark
2015-03-01,610150.0,Central Denmark
2015-03-01,889301.89,Capital
2015-03-01,372359.26,Zealand
2015-03-01,547098.15,Southern Denmark
2015-04-01,266691.38,North Denmark
2015-04-01,889878.43,Capital
2015-04-01,614832.56,Central Denmark
2015-04-01,374972.55,Zealand
2015-04-01,551652.0,Southern Denmark
2015-05-01,269947.06,North Denmark
2015-05-01,605900.0,Central Denmark
2015-05-01,554602.22,Southern Denmark
2015-05-01,879733.33,Capital
2015-05-01,373995.74,Zealand
2015-06-01,545091.3,Southern Denmark
2015-06-01,378676.09,Zealand
2015-06-01,890293.75,Capital
2015-06-01,617282.05,Central Denmark
2015-06-01,268102.0,North Denmark
2015-07-01,269000.0,North Denmark
2015-07-01,605330.77,Central Denmark
2015-07-01,552384.09,Southern Denmark
2015-07-01,883727.08,Capital
2015-07-01,373428.89,Zealand
2015-08-01,269044.44,North Denmark
2015-08-01,610508.33,Central Denmark
2015-08-01,552427.5,Southern Denmark
2015-08-01,893134.09,Capital
2015-08-01,375570.0,Zealand
2015-09-01,609300.0,Central Denmark
2015-09-01,269953.19,North Denmark
2015-09-01,376034.15,Zealand
2015-09-01,886486.96,Capital
2015-09-01,553602.38,Southern Denmark
2015-10-01,374097.62,Zealand
2015-10-01,888017.78,Capital
2015-10-01,556104.76,Southern Denmark
2015-10-01,605045.95,Central Denmark
2015-10-01,269823.91,North Denmark
2015-11-01,266785.11,North Denmark
2015-11-01,605537.84,Central Denmark
2015-11-01,551381.4,Southern Denmark
2015-11-01,884035.56,Capital
2015-11-01,378016.67,Zealand
2015-12-01,268800.0,North Denmark
2015-12-01,615043.24,Central Denmark
2015-12-01,553161.36,Southern Denmark
2015-12-01,883677.78,Capital
2015-12-01,374220.93,Zealand
2016-01-01,553858.7,Southern Denmark
2016-01-01,890971.11,Capital
2016-01-01,371131.11,Zealand
2016-01-01,269925.49,North Denmark
2016-01-01,606202.56,Central Denmark
2016-02-01,628178.05,Central Denmark
2016-02-01,552616.0,Southern Denmark
2016-02-01,905550.0,Capital
2016-02-01,382074.47,Zealand
2016-02-01,270853.57,North Denmark
2016-03-01,273738.89,North Denmark
2016-03-01,554051.02,Southern Denmark
2016-03-01,896826.09,Capital
2016-03-01,383006.52,Zealand
2016-03-01,618831.71,Central Denmark
2016-04-01,269896.0,North Denmark
2016-04-01,628344.74,Central Denmark
2016-04-01,909175.0,Capital
2016-04-01,560675.56,Southern Denmark
2016-04-01,382952.27,Zealand
2016-05-01,273969.77,North Denmark
2016-05-01,616817.14,Central Denmark
2016-05-01,553775.61,Southern Denmark
2016-05-01,913275.61,Capital
2016-05-01,382385.0,Zealand
2016-06-01,382117.5,Zealand
2016-06-01,614005.71,Central Denmark
2016-06-01,562017.5,Southern Denmark
2016-06-01,906721.43,Capital
2016-06-01,269723.26,North Denmark
2016-07-01,623947.06,Central Denmark
2016-07-01,376733.33,Zealand
2016-07-01,901933.33,Capital
2016-07-01,554571.79,Southern Denmark
2016-07-01,271990.24,North Denmark
2016-08-01,384391.43,Zealand
2016-08-01,897302.44,Capital
2016-08-01,624903.03,Central Denmark
2016-08-01,270551.22,North Denmark
2016-08-01,554078.38,Southern Denmark
2016-09-01,911935.71,Capital
2016-09-01,550874.36,Southern Denmark
2016-09-01,630320.59,Central Denmark
2016-09-01,271883.33,North Denmark
2016-09-01,378143.24,Zealand
2016-10-01,613555.88,Central Denmark
2016-10-01,274828.57,North Denmark
2016-10-01,376752.63,Zealand
2016-10-01,552912.82,Southern Denmark
2016-10-01,900242.86,Capital
2016-11-01,271704.65,North Denmark
2016-11-01,376012.5,Zealand
2016-11-01,911919.05,Capital
2016-11-01,551835.0,Southern Denmark
2016-11-01,628076.47,Central Denmark
2016-12-01,270775.56,North Denmark
2016-12-01,627980.0,Central Denmark
2016-12-01,556097.62,Southern Denmark
2016-12-01,899825.58,Capital
2016-12-01,382087.8,Zealand
2017-01-01,894870.45,Capital
2017-01-01,562215.91,Southern Denmark
2017-01-01,381139.53,Zealand
2017-01-01,269379.59,North Denmark
2017-01-01,625224.32,Central Denmark
2017-02-01,638975.0,Central Denmark
2017-02-01,384352.17,Zealand
2017-02-01,921037.78,Capital
2017-02-01,568229.17,Southern Denmark
2017-02-01,273516.67,North Denmark
2017-03-01,272942.59,North Denmark
2017-03-01,923753.33,Capital
2017-03-01,380144.68,Zealand
2017-03-01,569339.58,Southern Denmark
2017-03-01,631453.66,Central Denmark
2017-04-01,915186.36,Capital
2017-04-01,562108.7,Southern Denmark
2017-04-01,631023.08,Central Denmark
2017-04-01,276192.16,North Denmark
2017-04-01,384637.78,Zealand
2017-05-01,566619.51,Southern Denmark
2017-05-01,272521.28,North Denmark
2017-05-01,626536.11,Central Denmark
2017-05-01,380933.33,Zealand
2017-05-01,924090.24,Capital
2017-06-01,561275.61,Southern Denmark
2017-06-01,625313.89,Central Denmark
2017-06-01,277015.22,North Denmark
2017-06-01,382183.33,Zealand
2017-06-01,918228.57,Capital
2017-07-01,629786.11,Central Denmark
2017-07-01,560290.0,Southern Denmark
2017-07-01,920514.29,Capital
2017-07-01,385221.95,Zealand
2017-07-01,275864.44,North Denmark
2017-08-01,628810.81,Central Denmark
2017-08-01,561410.26,Southern Denmark
2017-08-01,909242.86,Capital
2017-08-01,384330.77,Zealand
2017-08-01,277672.73,North Denmark
2017-09-01,382060.0,Zealand
2017-09-01,923086.05,Capital
2017-09-01,567180.0,Southern Denmark
2017-09-01,630326.32,Central Denmark
2017-09-01,272943.48,North Denmark
2017-10-01,382502.5,Zealand
2017-10-01,925985.71,Capital
2017-10-01,557782.5,Southern Denmark
2017-10-01,626235.14,Central Denmark
2017-10-01,274740.0,North Denmark
2017-11-01,277134.78,North Denmark
2017-11-01,630727.03,Central Denmark
2017-11-01,565885.0,Southern Denmark
2017-11-01,909209.3,Capital
2017-11-01,380900.0,Zealand
2017-12-01,387597.56,Zealand
2017-12-01,558619.51,Southern Denmark
2017-12-01,925878.57,Capital
2017-12-01,277840.43,North Denmark
2017-12-01,629056.76,Central Denmark
2018-01-01,274146.94,North Denmark
2018-01-01,637491.89,Central Denmark
2018-01-01,388169.05,Zealand
2018-01-01,564719.05,Southern Denmark
2018-01-01,928400.0,Capital
2018-02-01,647956.41,Central Denmark
2018-02-01,383488.89,Zealand
2018-02-01,937586.05,Capital
2018-02-01,574020.45,Southern Denmark
2018-02-01,277211.54,North Denmark
2018-03-01,646079.49,Central Denmark
2018-03-01,278947.06,North Denmark
2018-03-01,565613.64,Southern Denmark
2018-03-01,929762.79,Capital
2018-03-01,390465.91,Zealand
2018-04-01,275462.0,North Denmark
2018-04-01,639963.16,Central Denmark
2018-04-01,565680.95,Southern Denmark
2018-04-01,927159.52,Capital
2018-04-01,386556.82,Zealand
2018-05-01,638314.71,Central Denmark
2018-05-01,387882.05,Zealand
2018-05-01,280558.14,North Denmark
2018-05-01,572386.49,Southern Denmark
2018-05-01,926341.03,Capital
2018-06-01,278361.9,North Denmark
2018-06-01,648772.73,Central Denmark
2018-06-01,563162.16,Southern Denmark
2018-06-01,933915.38,Capital
2018-06-01,382661.54,Zealand
2018-07-01,277107.32,North Denmark
2018-07-01,647278.79,Central Denmark
2018-07-01,576082.86,Southern Denmark
2018-07-01,383137.84,Zealand
2018-07-01,944018.42,Capital
2018-08-01,280995.0,North Denmark
2018-08-01,648893.94,Central Denmark
2018-08-01,925378.38,Capital
2018-08-01,393315.15,Zealand
2018-08-01,568550.0,Southern Denmark
2018-09-01,279471.43,North Denmark
2018-09-01,639797.14,Central Denmark
2018-09-01,562266.67,Southern Denmark
2018-09-01,944247.37,Capital
2018-09-01,382377.14,Zealand
2018-10-01,276990.24,North Denmark
2018-10-01,566997.14,Southern Denmark
2018-10-01,934447.37,Capital
2018-10-01,383500.0,Zealand
2018-10-01,634423.53,Central Denmark
2018-11-01,275988.1,North Denmark
2018-11-01,637644.12,Central Denmark
2018-11-01,563919.44,Southern Denmark
2018-11-01,923023.08,Capital
2018-11-01,384183.33,Zealand
2018-12-01,278490.48,North Denmark
2018-12-01,383913.51,Zealand
2018-12-01,642123.53,Central Denmark
2018-12-01,939560.53,Capital
2018-12-01,575480.56,Southern Denmark
2019-01-01,385065.79,Zealand
2019-01-01,945100.0,Capital
2019-01-01,275490.91,North Denmark
2019-01-01,566768.42,Southern Denmark
2019-01-01,643948.57,Central Denmark
2019-02-01,279057.45,North Denmark
2019-02-01,638384.21,Central Denmark
2019-02-01,387570.0,Zealand
2019-02-01,945707.5,Capital
2019-02-01,576117.5,Southern Denmark
2019-03-01,279482.98,North Denmark
2019-03-01,573377.5,Southern Denmark
2019-03-01,641936.84,Central Denmark
2019-03-01,944295.0,Capital
2019-03-01,387467.5,Zealand
2019-04-01,392418.42,Zealand
2019-04-01,947797.44,Capital
2019-04-01,572092.11,Southern Denmark
2019-04-01,644061.11,Central Denmark
2019-04-01,276770.45,North Denmark
2019-05-01,280376.32,North Denmark
2019-05-01,942750.0,Capital
2019-05-01,653790.62,Central Denmark
2019-05-01,570123.53,Southern Denmark
2019-05-01,387991.43,Zealand
2019-06-01,277555.26,North Denmark
2019-06-01,395817.65,Zealand
2019-06-01,936056.76,Capital
2019-06-01,570352.94,Southern Denmark
2019-06-01,655981.25,Central Denmark
2019-07-01,278626.32,North Denmark
2019-07-01,644848.48,Central Denmark
2019-07-01,574120.59,Southern Denmark
2019-07-01,930589.47,Capital
2019-07-01,389570.59,Zealand
2019-08-01,277366.67,North Denmark
2019-08-01,385603.12,Zealand
2019-08-01,928513.51,Capital
2019-08-01,579563.64,Southern Denmark
2019-08-01,637214.71,Central Denmark
2019-09-01,283102.5,North Denmark
2019-09-01,647362.86,Central Denmark
2019-09-01,573471.43,Southern Denmark
2019-09-01,386784.85,Zealand
2019-09-01,944828.95,Capital
