;geoName;geoCode;date;GT_DK_0_cross;GT_DK_1_cross;GT_DK_2_cross;GT_DK_3_cross;GT_DK_4_cross;GT_DK_5_cross;GT_DK_6_cross;GT_DK_7_cross;GT_DK_8_cross;GT_DK_9_cross;GT_DK_10_cross;GT_DK_11_cross;GT_DK_12_cross;GT_DK_13_cross;GT_DK_14_cross;GT_DK_15_cross;GT_DK_16_cross;GT_DK_17_cross;GT_DK_18_cross;GT_DK_19_cross;GT_DK_20_cross;GT_DK_21_cross;ID;trends
148;Region Syddanmark;DK-83;2008-06-01;62;58;85;83;97;51;31;90;66;86;44;42;68;48;81;89;23;100;61;98;63;0;Southern Denmark;DK-83
149;Region Zealand;DK-85;2008-06-01;39;100;93;100;100;45;100;100;100;63;85;52;100;52;58;58;100;58;66;81;58;0;Zealand;DK-85
150;Capital Region of Denmark;DK-84;2008-07-01;29;90;99;65;100;73;0;64;81;55;88;26;40;40;35;54;13;27;44;89;30;100;Capital;DK-84
151;Central Denmark Region;DK-82;2008-07-01;55;100;88;73;87;100;84;64;80;97;77;0;29;58;32;34;0;33;57;80;60;0;Central Denmark;DK-82
152;North Denmark Region;DK-81;2008-07-01;0;71;82;100;98;68;0;70;69;100;100;100;100;100;66;100;100;24;85;89;46;0;North Denmark;DK-81
153;Region Syddanmark;DK-83;2008-07-01;38;74;91;52;89;40;100;71;89;76;75;80;70;34;38;52;70;36;55;86;47;0;Southern Denmark;DK-83
154;Region Zealand;DK-85;2008-07-01;100;52;100;42;88;51;0;100;100;98;87;50;76;0;100;50;0;100;100;100;100;0;Zealand;DK-85
155;Capital Region of Denmark;DK-84;2008-08-01;40;100;71;63;75;48;53;72;67;39;88;40;76;46;51;70;100;54;55;57;53;77;Capital;DK-84
156;Central Denmark Region;DK-82;2008-08-01;86;57;63;95;67;46;58;73;52;76;76;49;100;100;51;47;0;35;93;100;92;85;Central Denmark;DK-82
157;North Denmark Region;DK-81;2008-08-01;65;51;89;91;65;100;0;100;66;100;33;100;87;85;100;98;0;46;100;83;77;0;North Denmark;DK-81
158;Region Syddanmark;DK-83;2008-08-01;58;58;100;100;69;50;70;80;62;73;51;35;60;45;71;63;0;100;92;83;100;100;Southern Denmark;DK-83
159;Region Zealand;DK-85;2008-08-01;100;71;86;51;100;44;100;81;100;54;100;50;0;0;58;100;0;64;67;81;60;0;Zealand;DK-85
160;Capital Region of Denmark;DK-84;2008-09-01;56;100;95;66;65;49;34;64;76;46;85;100;33;100;63;90;18;82;71;62;51;34;Capital;DK-84
161;Central Denmark Region;DK-82;2008-09-01;100;97;89;71;57;76;92;72;79;67;84;63;30;89;64;100;82;88;80;87;60;30;Central Denmark;DK-82
162;North Denmark Region;DK-81;2008-09-01;57;62;100;53;100;37;63;100;65;100;84;90;100;0;85;67;0;95;83;65;100;100;North Denmark;DK-81
163;Region Syddanmark;DK-83;2008-09-01;92;94;99;88;57;100;57;90;84;70;66;54;27;36;100;42;100;80;51;100;46;0;Southern Denmark;DK-83
