;geoName;geoCode;date;GT_DK_0_cross;GT_DK_1_cross;GT_DK_2_cross;GT_DK_3_cross;GT_DK_4_cross;GT_DK_5_cross;GT_DK_6_cross;GT_DK_7_cross;GT_DK_8_cross;GT_DK_9_cross;GT_DK_10_cross;GT_DK_11_cross;GT_DK_12_cross;GT_DK_13_cross;GT_DK_14_cross;GT_DK_15_cross;GT_DK_16_cross;GT_DK_17_cross;GT_DK_18_cross;GT_DK_19_cross;GT_DK_20_cross;GT_DK_21_cross;ID;trends
409;Region Zealand;DK-85;2012-10-01;100;58;100;87;100;72;54;100;100;80;63;100;96;100;100;100;22;86;76;87;100;100;Zealand;DK-85
410;Capital Region of Denmark;DK-84;2012-11-01;92;100;100;88;56;95;42;69;73;62;100;81;78;94;62;55;62;69;49;73;58;54;Capital;DK-84
411;Central Denmark Region;DK-82;2012-11-01;75;88;95;86;56;88;79;71;61;77;88;70;68;55;79;64;78;79;71;94;100;43;Central Denmark;DK-82
412;North Denmark Region;DK-81;2012-11-01;91;66;92;99;70;65;100;70;76;100;56;100;91;100;73;100;100;70;76;94;68;54;North Denmark;DK-81
413;Region Syddanmark;DK-83;2012-11-01;100;83;95;97;54;84;75;87;100;92;67;62;100;25;91;72;53;72;63;100;70;75;Southern Denmark;DK-83
414;Region Zealand;DK-85;2012-11-01;97;92;98;100;100;100;41;100;97;91;81;78;83;59;100;52;0;100;100;98;79;100;Zealand;DK-85
415;Capital Region of Denmark;DK-84;2012-12-01;86;100;96;100;65;64;52;73;69;60;100;85;68;72;62;100;64;59;47;75;65;93;Capital;DK-84
416;Central Denmark Region;DK-82;2012-12-01;94;89;84;95;65;76;76;83;44;80;75;77;83;69;50;63;100;92;80;88;85;58;Central Denmark;DK-82
417;North Denmark Region;DK-81;2012-12-01;81;83;72;73;92;68;100;82;73;100;84;99;100;100;67;79;79;100;100;97;100;100;North Denmark;DK-81
418;Region Syddanmark;DK-83;2012-12-01;100;67;81;99;84;100;40;100;66;93;90;100;57;44;95;83;52;95;83;100;79;71;Southern Denmark;DK-83
419;Region Zealand;DK-85;2012-12-01;53;52;100;90;100;78;16;94;100;91;91;50;32;71;100;94;95;82;80;100;80;32;Zealand;DK-85
420;Capital Region of Denmark;DK-84;2013-01-01;61;100;99;91;66;74;69;63;61;58;100;80;79;100;55;65;41;60;56;78;52;100;Capital;DK-84
421;Central Denmark Region;DK-82;2013-01-01;64;92;96;84;61;57;67;67;49;80;68;64;71;57;75;100;31;75;82;100;83;100;Central Denmark;DK-82
422;North Denmark Region;DK-81;2013-01-01;100;78;99;71;100;54;16;77;54;100;68;100;61;54;55;74;99;100;100;96;96;53;North Denmark;DK-81
423;Region Syddanmark;DK-83;2013-01-01;74;73;91;100;85;70;43;82;71;95;68;72;100;52;78;68;48;90;84;88;100;85;Southern Denmark;DK-83
424;Region Zealand;DK-85;2013-01-01;94;76;100;92;84;100;100;100;100;88;48;50;68;66;100;82;100;85;96;81;82;100;Zealand;DK-85
425;Capital Region of Denmark;DK-84;2013-02-01;92;91;93;80;41;95;77;78;61;58;100;91;69;100;68;55;59;65;68;74;56;88;Capital;DK-84
426;Central Denmark Region;DK-82;2013-02-01;95;76;87;72;48;74;87;83;66;76;69;100;88;46;72;99;100;85;74;86;90;100;Central Denmark;DK-82
427;North Denmark Region;DK-81;2013-02-01;86;100;95;68;86;100;99;83;80;100;94;78;100;80;100;100;93;100;100;90;80;37;North Denmark;DK-81
428;Region Syddanmark;DK-83;2013-02-01;100;67;96;94;70;94;100;100;69;92;82;95;84;77;83;88;81;75;92;81;100;99;Southern Denmark;DK-83
429;Region Zealand;DK-85;2013-02-01;74;58;100;100;100;91;46;96;100;86;78;97;88;38;57;85;75;91;91;100;72;90;Zealand;DK-85
430;Capital Region of Denmark;DK-84;2013-03-01;90;97;100;81;69;76;72;76;75;56;99;100;84;100;74;40;33;50;74;65;57;55;Capital;DK-84
431;Central Denmark Region;DK-82;2013-03-01;100;100;92;75;99;61;100;77;74;74;82;77;84;60;74;54;73;68;87;77;100;55;Central Denmark;DK-82
432;North Denmark Region;DK-81;2013-03-01;84;90;82;73;76;100;100;88;65;100;100;74;94;38;66;47;100;100;98;100;84;100;North Denmark;DK-81
433;Region Syddanmark;DK-83;2013-03-01;94;85;95;88;72;59;87;100;86;86;68;89;78;50;80;51;54;82;94;64;81;61;Southern Denmark;DK-83
434;Region Zealand;DK-85;2013-03-01;75;62;85;100;100;71;79;97;100;87;57;92;100;40;100;100;98;72;100;74;84;80;Zealand;DK-85
435;Capital Region of Denmark;DK-84;2013-04-01;100;100;100;84;70;78;73;78;49;65;100;93;82;68;93;58;47;41;51;74;60;72;Capital;DK-84
436;Central Denmark Region;DK-82;2013-04-01;89;80;99;85;74;82;100;90;44;88;86;80;84;100;91;100;97;67;77;97;73;64;Central Denmark;DK-82
437;North Denmark Region;DK-81;2013-04-01;82;79;89;89;100;100;57;88;47;98;85;74;79;79;95;73;64;100;98;100;75;70;North Denmark;DK-81
438;Region Syddanmark;DK-83;2013-04-01;99;83;95;100;91;93;91;99;71;100;80;100;100;70;92;85;100;70;86;89;81;100;Southern Denmark;DK-83
439;Region Zealand;DK-85;2013-04-01;84;74;93;70;94;74;100;100;100;100;58;89;99;36;100;76;90;74;100;96;100;56;Zealand;DK-85
440;Capital Region of Denmark;DK-84;2013-05-01;100;100;95;89;59;82;64;75;51;63;100;94;100;100;46;75;55;73;71;71;60;91;Capital;DK-84
441;Central Denmark Region;DK-82;2013-05-01;84;94;90;98;64;92;47;86;52;83;83;91;72;59;45;71;35;82;85;86;90;92;Central Denmark;DK-82
442;North Denmark Region;DK-81;2013-05-01;57;87;84;97;100;100;66;93;25;100;66;100;75;76;24;78;40;100;100;100;64;100;North Denmark;DK-81
443;Region Syddanmark;DK-83;2013-05-01;94;91;97;100;69;91;100;96;79;100;79;79;87;76;56;94;100;98;95;84;100;91;Southern Denmark;DK-83
444;Region Zealand;DK-85;2013-05-01;82;56;100;87;77;65;72;100;100;96;45;82;61;62;100;100;81;100;93;88;77;49;Zealand;DK-85
445;Capital Region of Denmark;DK-84;2013-06-01;98;100;100;71;51;70;44;71;47;61;88;97;57;75;44;68;58;67;63;68;63;95;Capital;DK-84
446;Central Denmark Region;DK-82;2013-06-01;100;71;88;69;54;82;50;82;42;73;79;100;84;56;38;70;65;89;93;100;95;86;Central Denmark;DK-82
447;North Denmark Region;DK-81;2013-06-01;96;84;100;82;76;100;100;100;45;100;100;77;88;100;58;76;70;90;100;80;98;100;North Denmark;DK-81
448;Region Syddanmark;DK-83;2013-06-01;93;76;97;86;63;86;49;88;65;87;74;89;100;40;74;92;94;100;78;83;88;62;Southern Denmark;DK-83
449;Region Zealand;DK-85;2013-06-01;91;60;92;100;100;80;48;98;100;90;53;45;71;24;100;100;100;99;71;73;100;96;Zealand;DK-85
450;Capital Region of Denmark;DK-84;2013-07-01;61;100;96;97;62;73;100;67;63;65;100;96;76;100;91;58;33;65;51;74;80;100;Capital;DK-84
451;Central Denmark Region;DK-82;2013-07-01;50;69;81;100;57;62;56;75;52;76;69;52;75;65;51;86;45;82;76;81;89;59;Central Denmark;DK-82
452;North Denmark Region;DK-81;2013-07-01;44;84;87;82;85;100;75;81;61;100;74;74;55;50;86;67;61;90;91;99;100;73;North Denmark;DK-81
453;Region Syddanmark;DK-83;2013-07-01;67;72;83;82;60;59;67;87;70;89;67;100;100;30;100;92;23;96;81;77;91;41;Southern Denmark;DK-83
454;Region Zealand;DK-85;2013-07-01;100;57;100;100;100;75;95;100;100;94;80;62;35;35;78;100;100;100;100;100;91;46;Zealand;DK-85
455;Capital Region of Denmark;DK-84;2013-08-01;99;100;100;74;54;99;37;69;48;55;100;74;66;100;64;63;36;64;63;88;58;60;Capital;DK-84
456;Central Denmark Region;DK-82;2013-08-01;82;71;97;76;58;74;46;83;43;70;80;76;100;43;58;86;34;86;64;94;76;41;Central Denmark;DK-82
457;North Denmark Region;DK-81;2013-08-01;100;71;99;87;96;86;100;100;45;100;53;100;54;96;56;100;100;100;98;91;64;100;North Denmark;DK-81
458;Region Syddanmark;DK-83;2013-08-01;93;55;92;100;72;100;54;86;47;84;76;68;77;28;47;64;51;82;80;100;100;28;Southern Denmark;DK-83
459;Region Zealand;DK-85;2013-08-01;70;84;96;67;100;84;47;91;100;86;89;50;74;20;100;67;61;86;100;84;54;43;Zealand;DK-85
460;Capital Region of Denmark;DK-84;2013-09-01;78;100;100;95;69;66;100;75;59;65;100;85;68;100;61;62;54;86;63;64;72;59;Capital;DK-84
461;Central Denmark Region;DK-82;2013-09-01;70;79;88;90;78;89;80;70;44;74;98;89;94;40;60;78;60;100;69;86;83;47;Central Denmark;DK-82
462;North Denmark Region;DK-81;2013-09-01;100;65;87;100;97;75;48;100;48;100;67;97;89;64;81;77;91;96;100;100;100;100;North Denmark;DK-81
463;Region Syddanmark;DK-83;2013-09-01;90;91;87;97;90;100;61;98;83;84;79;74;100;30;100;80;100;93;77;88;99;47;Southern Denmark;DK-83
464;Region Zealand;DK-85;2013-09-01;75;87;90;87;100;60;52;100;100;88;79;100;48;55;94;100;47;83;79;79;92;38;Zealand;DK-85
465;Capital Region of Denmark;DK-84;2013-10-01;68;100;100;82;66;54;69;70;40;57;100;100;86;100;63;63;69;61;76;72;44;100;Capital;DK-84
466;Central Denmark Region;DK-82;2013-10-01;82;67;87;100;80;60;100;79;40;69;68;75;79;36;59;75;68;67;83;97;88;98;Central Denmark;DK-82
467;North Denmark Region;DK-81;2013-10-01;100;70;79;85;83;100;86;94;31;100;75;73;100;89;68;91;38;78;100;100;100;57;North Denmark;DK-81
468;Region Syddanmark;DK-83;2013-10-01;78;67;90;96;84;41;94;88;49;79;65;73;69;40;100;42;45;76;84;86;66;67;Southern Denmark;DK-83
469;Region Zealand;DK-85;2013-10-01;67;51;90;94;100;67;75;100;100;94;46;82;95;26;93;100;100;100;93;89;77;62;Zealand;DK-85
470;Capital Region of Denmark;DK-84;2013-11-01;68;100;100;92;95;75;72;78;44;56;100;100;72;100;85;86;100;41;59;53;52;95;Capital;DK-84
471;Central Denmark Region;DK-82;2013-11-01;80;71;80;94;71;69;34;89;45;74;68;56;96;49;66;100;57;55;75;66;70;100;Central Denmark;DK-82
472;North Denmark Region;DK-81;2013-11-01;81;65;86;100;85;73;100;89;35;100;77;93;90;65;86;95;50;100;97;100;100;31;North Denmark;DK-81
473;Region Syddanmark;DK-83;2013-11-01;69;57;96;95;100;70;43;100;50;81;76;81;74;47;100;98;56;69;85;63;67;93;Southern Denmark;DK-83
474;Region Zealand;DK-85;2013-11-01;100;49;91;75;85;100;70;90;100;93;60;72;100;32;86;72;89;64;100;61;70;68;Zealand;DK-85
475;Capital Region of Denmark;DK-84;2013-12-01;74;100;100;100;54;66;86;73;53;72;100;74;59;100;66;82;21;58;61;56;65;57;Capital;DK-84
476;Central Denmark Region;DK-82;2013-12-01;72;73;82;91;53;89;73;82;66;89;54;43;51;9;38;84;19;88;100;85;100;74;Central Denmark;DK-82
477;North Denmark Region;DK-81;2013-12-01;73;35;85;92;51;100;94;84;48;100;94;94;83;63;47;94;100;100;80;100;76;100;North Denmark;DK-81
478;Region Syddanmark;DK-83;2013-12-01;83;51;86;95;75;54;85;83;70;92;81;72;100;39;100;93;40;79;93;54;84;68;Southern Denmark;DK-83
479;Region Zealand;DK-85;2013-12-01;100;77;95;97;100;50;100;100;100;98;84;100;29;33;100;100;23;85;73;80;65;53;Zealand;DK-85
480;Capital Region of Denmark;DK-84;2014-01-01;80;100;100;83;63;93;84;76;54;60;100;99;100;100;80;89;57;53;74;63;66;90;Capital;DK-84
481;Central Denmark Region;DK-82;2014-01-01;52;72;93;78;64;100;68;92;32;93;70;76;86;35;89;70;51;92;94;77;98;62;Central Denmark;DK-82
482;North Denmark Region;DK-81;2014-01-01;78;49;86;95;78;86;97;84;46;98;65;100;98;17;81;100;100;99;100;100;100;50;North Denmark;DK-81
483;Region Syddanmark;DK-83;2014-01-01;100;55;95;100;74;100;100;89;64;89;66;83;87;25;58;80;57;82;93;71;94;100;Southern Denmark;DK-83
484;Region Zealand;DK-85;2014-01-01;82;85;91;92;100;95;53;100;100;100;51;99;92;19;100;73;36;100;89;77;79;83;Zealand;DK-85
485;Capital Region of Denmark;DK-84;2014-02-01;91;97;97;80;68;86;72;62;45;58;100;100;93;100;61;67;56;68;54;71;60;63;Capital;DK-84
486;Central Denmark Region;DK-82;2014-02-01;71;75;85;77;76;56;88;75;35;81;51;80;95;46;86;68;100;100;100;91;100;100;Central Denmark;DK-82
487;North Denmark Region;DK-81;2014-02-01;70;100;95;100;94;55;79;76;28;100;66;80;100;85;70;100;52;90;89;100;98;52;North Denmark;DK-81
488;Region Syddanmark;DK-83;2014-02-01;97;58;89;81;70;74;75;77;60;78;71;97;99;21;60;84;86;86;87;70;90;80;Southern Denmark;DK-83
489;Region Zealand;DK-85;2014-02-01;100;66;100;87;100;100;100;100;100;97;76;79;89;29;100;87;59;87;93;81;96;82;Zealand;DK-85
490;Capital Region of Denmark;DK-84;2014-03-01;87;93;100;80;57;70;53;65;51;50;100;96;70;100;66;73;26;55;64;67;70;27;Capital;DK-84
491;Central Denmark Region;DK-82;2014-03-01;63;58;97;86;72;72;55;83;48;80;71;73;89;63;65;98;100;97;73;100;100;43;Central Denmark;DK-82
492;North Denmark Region;DK-81;2014-03-01;98;100;96;84;84;85;100;90;47;94;94;76;79;65;44;100;71;100;100;90;99;44;North Denmark;DK-81
493;Region Syddanmark;DK-83;2014-03-01;100;66;92;100;74;73;69;86;64;77;65;72;99;50;76;74;45;73;98;71;91;20;Southern Denmark;DK-83
494;Region Zealand;DK-85;2014-03-01;74;60;98;89;100;100;48;100;100;100;79;100;100;29;100;86;64;86;95;93;58;100;Zealand;DK-85
495;Capital Region of Denmark;DK-84;2014-04-01;74;99;100;100;78;86;57;63;62;57;100;88;41;100;57;59;50;58;53;76;58;98;Capital;DK-84
496;Central Denmark Region;DK-82;2014-04-01;45;48;91;96;100;38;24;77;68;83;70;78;43;24;81;67;53;81;73;97;91;100;Central Denmark;DK-82
497;North Denmark Region;DK-81;2014-04-01;100;100;76;66;98;64;100;91;56;96;85;89;100;69;96;60;100;71;68;100;60;69;North Denmark;DK-81
498;Region Syddanmark;DK-83;2014-04-01;53;79;87;94;85;100;40;87;79;80;70;90;44;53;100;64;49;86;79;78;100;57;Southern Denmark;DK-83
499;Region Zealand;DK-85;2014-04-01;44;51;92;83;97;98;35;100;100;100;62;100;32;21;76;100;37;100;100;99;71;77;Zealand;DK-85
500;Capital Region of Denmark;DK-84;2014-05-01;100;100;98;97;76;70;56;76;31;57;100;100;95;100;59;65;46;51;53;81;70;61;Capital;DK-84
501;Central Denmark Region;DK-82;2014-05-01;64;81;93;100;83;81;43;80;43;83;74;63;100;41;44;52;37;93;58;100;90;63;Central Denmark;DK-82
502;North Denmark Region;DK-81;2014-05-01;73;77;83;74;100;85;49;100;29;91;86;94;36;39;69;100;88;100;84;85;65;100;North Denmark;DK-81
503;Region Syddanmark;DK-83;2014-05-01;93;70;93;97;75;100;64;94;52;78;78;71;55;45;93;84;54;86;80;98;100;55;Southern Denmark;DK-83
504;Region Zealand;DK-85;2014-05-01;87;66;100;90;94;62;100;100;100;100;80;59;83;29;100;75;100;61;100;78;83;76;Zealand;DK-85
505;Capital Region of Denmark;DK-84;2014-06-01;95;100;97;91;48;69;45;73;32;62;100;100;41;100;40;82;54;76;54;73;47;64;Capital;DK-84
506;Central Denmark Region;DK-82;2014-06-01;54;71;95;73;57;100;67;76;26;81;66;71;100;19;58;100;78;87;90;92;100;75;Central Denmark;DK-82
507;North Denmark Region;DK-81;2014-06-01;98;88;100;73;100;74;71;100;30;100;99;90;53;99;54;40;53;98;94;85;74;74;North Denmark;DK-81
508;Region Syddanmark;DK-83;2014-06-01;100;61;99;100;53;77;57;86;44;84;81;81;85;47;43;69;50;100;84;89;81;42;Southern Denmark;DK-83
509;Region Zealand;DK-85;2014-06-01;88;84;100;95;88;95;100;95;100;99;70;72;75;40;100;59;100;82;100;100;54;100;Zealand;DK-85
510;Capital Region of Denmark;DK-84;2014-07-01;84;100;99;93;75;67;100;69;39;64;100;97;100;100;69;74;36;80;69;68;69;57;Capital;DK-84
511;Central Denmark Region;DK-82;2014-07-01;69;62;93;81;100;100;93;79;41;83;57;91;46;47;68;96;39;76;91;98;77;32;Central Denmark;DK-82
512;North Denmark Region;DK-81;2014-07-01;71;74;97;87;72;71;73;88;31;100;76;87;85;65;55;39;100;97;94;100;79;100;North Denmark;DK-81
513;Region Syddanmark;DK-83;2014-07-01;100;59;87;100;81;65;47;100;39;89;65;94;69;72;100;100;53;75;68;70;100;37;Southern Denmark;DK-83
514;Region Zealand;DK-85;2014-07-01;80;64;100;70;80;63;0;100;100;87;67;100;84;56;72;87;20;100;100;87;62;32;Zealand;DK-85
515;Capital Region of Denmark;DK-84;2014-08-01;97;100;100;90;62;87;100;66;53;66;100;100;100;100;63;48;28;47;59;66;76;56;Capital;DK-84
516;Central Denmark Region;DK-82;2014-08-01;67;99;93;70;65;78;35;79;35;91;78;91;95;62;58;42;75;68;71;93;83;86;Central Denmark;DK-82
517;North Denmark Region;DK-81;2014-08-01;71;75;85;91;77;100;97;82;27;99;77;82;71;71;73;45;71;100;90;93;72;35;North Denmark;DK-81
518;Region Syddanmark;DK-83;2014-08-01;100;77;96;96;87;79;72;86;70;95;73;81;73;30;83;47;54;59;67;90;76;74;Southern Denmark;DK-83
519;Region Zealand;DK-85;2014-08-01;93;77;100;100;100;61;36;100;100;100;73;72;80;12;100;100;100;66;100;100;100;100;Zealand;DK-85
520;Capital Region of Denmark;DK-84;2014-09-01;61;100;100;79;65;78;53;78;48;63;100;100;48;100;87;66;56;63;63;83;62;55;Capital;DK-84
521;Central Denmark Region;DK-82;2014-09-01;69;53;97;76;67;63;42;87;28;88;53;68;48;34;75;58;32;73;70;100;85;36;Central Denmark;DK-82
522;North Denmark Region;DK-81;2014-09-01;48;95;87;100;80;86;100;100;32;100;80;83;100;84;85;90;54;100;100;98;56;100;North Denmark;DK-81
523;Region Syddanmark;DK-83;2014-09-01;55;72;92;81;79;75;68;95;69;90;69;90;63;16;77;100;43;97;76;92;78;68;Southern Denmark;DK-83
524;Region Zealand;DK-85;2014-09-01;100;86;97;82;100;100;37;99;100;98;59;95;37;46;100;99;100;78;87;88;100;37;Zealand;DK-85
525;Capital Region of Denmark;DK-84;2014-10-01;70;100;94;75;82;64;73;73;60;53;100;100;75;100;75;83;27;75;59;70;54;42;Capital;DK-84
526;Central Denmark Region;DK-82;2014-10-01;48;95;90;68;87;88;75;76;60;77;70;82;100;53;100;80;60;97;78;99;45;54;Central Denmark;DK-82
527;North Denmark Region;DK-81;2014-10-01;100;82;93;63;98;68;83;83;53;100;87;84;51;54;67;100;100;94;100;97;64;100;North Denmark;DK-81
528;Region Syddanmark;DK-83;2014-10-01;67;95;89;86;90;74;77;87;59;74;66;65;59;34;79;89;38;100;68;92;77;62;Southern Denmark;DK-83
529;Region Zealand;DK-85;2014-10-01;89;61;100;100;100;100;100;100;100;87;69;89;92;60;60;78;73;92;94;100;100;50;Zealand;DK-85
530;Capital Region of Denmark;DK-84;2014-11-01;81;100;92;85;71;84;50;74;42;65;100;100;66;100;64;74;60;69;58;64;66;100;Capital;DK-84
531;Central Denmark Region;DK-82;2014-11-01;67;85;89;72;74;100;59;79;42;85;63;81;72;53;65;81;68;75;87;88;93;90;Central Denmark;DK-82
532;North Denmark Region;DK-81;2014-11-01;100;62;91;100;91;81;100;91;28;97;64;97;68;40;55;57;38;100;92;100;79;91;North Denmark;DK-81
533;Region Syddanmark;DK-83;2014-11-01;90;80;80;92;75;100;81;100;54;94;92;96;100;77;100;78;87;82;81;83;63;42;Southern Denmark;DK-83
534;Region Zealand;DK-85;2014-11-01;82;52;100;68;100;71;87;97;100;100;89;77;86;49;82;100;100;80;100;92;100;66;Zealand;DK-85
535;Capital Region of Denmark;DK-84;2014-12-01;65;96;92;94;52;75;77;67;51;56;100;71;51;100;58;60;62;64;66;83;73;90;Capital;DK-84
536;Central Denmark Region;DK-82;2014-12-01;61;93;98;100;74;100;100;77;51;77;71;56;48;71;55;82;43;100;87;100;95;87;Central Denmark;DK-82
537;North Denmark Region;DK-81;2014-12-01;85;100;86;84;46;69;58;82;55;100;57;67;100;41;48;85;100;79;90;96;79;75;North Denmark;DK-81
538;Region Syddanmark;DK-83;2014-12-01;70;73;88;100;68;74;76;87;67;79;86;76;66;40;66;100;99;88;68;93;100;100;Southern Denmark;DK-83
539;Region Zealand;DK-85;2014-12-01;100;80;100;85;100;69;84;100;100;90;83;100;21;55;100;89;84;82;100;90;59;63;Zealand;DK-85
540;Capital Region of Denmark;DK-84;2015-01-01;97;100;93;74;67;77;42;73;48;57;100;76;91;100;51;65;49;56;52;76;62;65;Capital;DK-84
541;Central Denmark Region;DK-82;2015-01-01;77;96;100;82;82;49;100;79;57;90;48;49;100;76;72;75;56;83;67;87;95;100;Central Denmark;DK-82
542;North Denmark Region;DK-81;2015-01-01;96;89;93;81;86;100;89;82;65;100;73;100;98;60;62;57;100;100;92;100;100;55;North Denmark;DK-81
543;Region Syddanmark;DK-83;2015-01-01;92;74;97;100;77;86;60;96;69;90;85;64;86;80;65;94;66;84;63;99;88;54;Southern Denmark;DK-83
544;Region Zealand;DK-85;2015-01-01;100;68;99;80;100;81;82;100;100;97;70;81;83;25;100;100;70;88;100;98;86;70;Zealand;DK-85
545;Capital Region of Denmark;DK-84;2015-02-01;63;95;94;100;50;76;53;62;56;48;93;83;52;100;56;57;100;57;69;68;67;55;Capital;DK-84
546;Central Denmark Region;DK-82;2015-02-01;50;70;88;92;65;100;52;71;50;75;76;79;100;43;83;81;84;87;93;100;100;66;Central Denmark;DK-82
547;North Denmark Region;DK-81;2015-02-01;74;89;80;94;75;40;82;84;45;100;100;65;47;74;100;68;72;100;75;83;87;52;North Denmark;DK-81
548;Region Syddanmark;DK-83;2015-02-01;60;100;88;91;69;96;100;74;66;72;86;100;33;48;77;52;86;71;90;91;63;61;Southern Denmark;DK-83
549;Region Zealand;DK-85;2015-02-01;100;67;100;100;100;77;88;100;100;83;96;61;58;43;82;100;42;66;100;78;78;100;Zealand;DK-85
550;Capital Region of Denmark;DK-84;2015-03-01;66;100;94;68;60;73;57;71;46;52;80;97;46;100;72;68;28;66;57;71;61;84;Capital;DK-84
551;Central Denmark Region;DK-82;2015-03-01;74;82;92;73;68;63;66;76;34;75;63;100;100;37;70;96;76;93;80;80;85;100;Central Denmark;DK-82
552;North Denmark Region;DK-81;2015-03-01;69;83;88;76;76;81;57;81;79;100;100;80;91;64;67;56;100;100;100;100;74;94;North Denmark;DK-81
553;Region Syddanmark;DK-83;2015-03-01;83;80;91;66;83;100;98;89;47;88;80;89;56;31;100;100;88;84;86;93;100;83;Southern Denmark;DK-83
554;Region Zealand;DK-85;2015-03-01;100;79;100;100;100;75;100;100;100;96;83;100;61;40;80;54;88;82;89;73;74;93;Zealand;DK-85
555;Capital Region of Denmark;DK-84;2015-04-01;85;92;90;96;71;78;48;69;56;50;100;100;72;100;57;79;33;73;61;74;66;87;Capital;DK-84
556;Central Denmark Region;DK-82;2015-04-01;59;75;93;81;76;57;94;86;60;78;72;71;69;39;53;94;100;75;90;77;70;68;Central Denmark;DK-82
557;North Denmark Region;DK-81;2015-04-01;59;100;85;85;82;100;58;85;80;100;79;87;100;60;62;87;88;66;93;89;100;100;North Denmark;DK-81
558;Region Syddanmark;DK-83;2015-04-01;95;81;92;100;71;82;64;95;83;77;63;77;75;49;57;100;19;78;81;88;84;88;Southern Denmark;DK-83
559;Region Zealand;DK-85;2015-04-01;100;78;100;90;100;92;100;100;100;85;59;93;35;75;100;88;38;100;100;100;93;70;Zealand;DK-85
560;Capital Region of Denmark;DK-84;2015-05-01;90;100;98;100;60;88;66;68;35;49;95;90;85;100;36;71;22;71;86;76;55;81;Capital;DK-84
561;Central Denmark Region;DK-82;2015-05-01;89;86;100;87;87;63;94;90;40;70;50;100;100;43;41;86;14;93;97;92;91;29;Central Denmark;DK-82
562;North Denmark Region;DK-81;2015-05-01;97;72;88;86;91;100;65;92;53;100;100;62;81;57;46;66;100;100;91;90;100;89;North Denmark;DK-81
563;Region Syddanmark;DK-83;2015-05-01;94;69;99;86;69;59;79;100;47;82;96;75;95;62;76;71;33;75;88;85;78;44;Southern Denmark;DK-83
564;Region Zealand;DK-85;2015-05-01;100;88;97;98;100;98;100;100;100;80;96;88;95;67;100;100;44;89;100;100;75;100;Zealand;DK-85
565;Capital Region of Denmark;DK-84;2015-06-01;70;92;84;96;72;89;96;70;77;59;100;77;57;100;85;69;71;61;74;84;61;86;Capital;DK-84
566;Central Denmark Region;DK-82;2015-06-01;82;63;75;76;81;89;67;85;56;83;72;63;61;71;58;79;100;73;93;98;88;50;Central Denmark;DK-82
567;North Denmark Region;DK-81;2015-06-01;59;100;74;99;100;59;100;100;85;100;91;53;86;91;65;68;80;100;100;100;85;92;North Denmark;DK-81
568;Region Syddanmark;DK-83;2015-06-01;80;79;79;100;75;72;35;86;99;91;81;81;100;40;100;87;62;84;90;81;100;100;Southern Denmark;DK-83
569;Region Zealand;DK-85;2015-06-01;100;83;100;87;87;100;68;94;100;97;71;100;40;62;83;100;85;91;82;85;97;78;Zealand;DK-85
570;Capital Region of Denmark;DK-84;2015-07-01;100;100;85;98;65;64;100;71;52;60;100;100;75;84;66;82;35;53;65;69;51;79;Capital;DK-84
571;Central Denmark Region;DK-82;2015-07-01;60;88;91;99;67;64;55;79;28;76;66;57;58;74;86;89;100;66;62;82;74;87;Central Denmark;DK-82
572;North Denmark Region;DK-81;2015-07-01;92;91;88;100;100;100;0;94;26;100;65;92;100;100;74;61;43;68;100;100;100;100;North Denmark;DK-81
573;Region Syddanmark;DK-83;2015-07-01;88;85;87;88;80;71;61;87;70;87;86;67;67;27;69;100;77;69;95;71;64;97;Southern Denmark;DK-83
574;Region Zealand;DK-85;2015-07-01;100;77;100;91;90;90;100;100;100;96;73;82;58;35;100;87;68;100;77;86;81;39;Zealand;DK-85
575;Capital Region of Denmark;DK-84;2015-08-01;92;100;100;71;80;54;43;77;51;57;100;93;70;100;61;47;26;69;69;86;67;93;Capital;DK-84
576;Central Denmark Region;DK-82;2015-08-01;74;94;95;70;83;48;64;83;31;69;73;77;61;58;54;93;71;66;90;100;91;74;Central Denmark;DK-82
577;North Denmark Region;DK-81;2015-08-01;91;89;98;100;100;100;26;93;31;100;64;80;64;52;77;54;65;100;72;95;100;100;North Denmark;DK-81
578;Region Syddanmark;DK-83;2015-08-01;79;87;97;93;85;53;73;100;69;86;85;76;69;46;100;100;76;65;100;83;82;71;Southern Denmark;DK-83
579;Region Zealand;DK-85;2015-08-01;100;77;99;69;97;75;100;98;100;79;70;100;100;46;75;89;100;57;70;88;59;39;Zealand;DK-85
580;Capital Region of Denmark;DK-84;2015-09-01;77;91;97;75;65;85;45;77;46;56;100;100;66;66;86;57;43;61;62;76;87;72;Capital;DK-84
581;Central Denmark Region;DK-82;2015-09-01;61;63;89;91;88;64;50;91;49;85;69;90;81;21;60;77;47;75;87;88;87;100;Central Denmark;DK-82
582;North Denmark Region;DK-81;2015-09-01;50;100;92;80;66;47;67;97;32;100;85;87;67;100;64;100;100;70;100;100;54;51;North Denmark;DK-81
583;Region Syddanmark;DK-83;2015-09-01;77;69;94;100;66;87;100;92;60;86;71;74;100;35;85;67;40;62;84;77;100;43;Southern Denmark;DK-83
584;Region Zealand;DK-85;2015-09-01;100;56;100;46;100;100;43;100;100;89;78;96;53;15;100;69;39;100;79;88;84;90;Zealand;DK-85
